order_id,account_age_days,past_orders,return_rate_hist,refund_to_keep_count,bracketing_score,claim_text_susp,image_ai_artifact_score,weight_mismatch_kg,shared_identifier_flag,carrier_scan_gap,days_to_claim,order_value,category,is_abuse
ORD100000,605,10,0.528,2,0.568,0.657,0.693,0.068,0,0,1.32,1000.8,electronics,1
ORD100001,185,11,0.065,1,0.47,0.435,0.49,0.029,0,0,1.0,4438.68,home,0
ORD100002,246,11,0.261,0,0.144,0.452,0.01,0.01,0,0,0.78,1813.56,footwear,0
ORD100003,609,9,0.588,0,0.206,0.439,0.165,0.052,0,0,0.79,2229.85,beauty,0
ORD100004,4,9,0.361,0,0.135,0.525,0.272,0.023,0,0,2.65,807.7,footwear,0
ORD100005,25,12,0.403,0,0.152,0.129,0.06,0.123,0,0,3.96,2294.89,electronics,0
ORD100006,721,7,0.232,0,0.193,0.134,0.21,0.02,0,0,0.96,922.22,beauty,0
ORD100007,17,6,0.464,2,0.22,0.038,0.231,0.047,0,0,1.49,3753.95,apparel,0
ORD100008,43,7,0.239,0,0.175,0.275,0.088,0.093,0,0,1.49,911.7,electronics,0
ORD100009,529,9,0.075,0,0.358,0.221,0.113,0.087,0,0,4.29,2824.82,home,0
ORD100010,173,11,0.107,0,0.211,0.291,0.336,0.017,0,0,4.71,840.81,home,0
ORD100011,92,9,0.568,3,0.095,0.409,0.459,0.069,0,0,3.07,3880.64,apparel,1
ORD100012,1826,8,0.327,0,0.236,0.061,0.227,0.001,0,0,4.23,640.93,footwear,0
ORD100013,252,5,0.569,0,0.374,0.248,0.112,0.002,0,0,1.58,1695.7,electronics,0
ORD100014,275,7,0.146,1,0.172,0.101,0.346,0.224,0,1,0.38,607.56,home,0
ORD100015,259,5,0.523,0,0.327,0.149,0.529,0.084,0,0,2.93,784.61,apparel,0
ORD100016,26,8,0.173,0,0.538,0.334,0.183,0.148,0,0,2.97,457.17,electronics,0
ORD100017,565,8,0.485,0,0.554,0.298,0.367,0.034,0,0,0.27,867.57,beauty,0
ORD100018,142,7,0.38,0,0.085,0.067,0.224,0.028,0,0,1.65,2178.66,home,0
ORD100019,29,6,0.439,0,0.348,0.145,0.157,0.05,0,0,1.15,3299.18,home,0
ORD100020,765,8,0.689,0,0.2,0.499,0.323,0.078,0,0,11.29,1194.89,home,0
ORD100021,139,4,0.341,1,0.183,0.414,0.144,0.014,0,0,17.72,3698.09,apparel,0
ORD100022,1466,7,0.057,1,0.742,0.218,0.261,0.01,0,0,2.12,1066.14,footwear,0
ORD100023,24,12,0.546,1,0.581,0.347,0.019,0.103,0,1,6.62,789.96,footwear,0
ORD100024,117,11,0.23,0,0.108,0.278,0.097,0.09,0,0,0.37,891.21,home,1
ORD100025,573,7,0.069,1,0.238,0.334,0.249,0.217,0,0,0.98,566.77,home,0
ORD100026,62,6,0.477,1,0.382,0.322,0.218,0.174,0,0,2.53,2522.7,apparel,0
ORD100027,1638,7,0.06,0,0.169,0.424,0.141,0.076,0,0,0.5,987.35,beauty,0
ORD100028,148,13,0.277,0,0.296,0.236,0.166,0.031,1,0,7.71,695.88,home,0
ORD100029,168,5,0.532,0,0.62,0.235,0.274,0.056,0,0,6.14,397.18,apparel,0
ORD100030,77,3,0.14,0,0.674,0.233,0.148,0.022,0,0,1.88,3096.49,apparel,0
ORD100031,298,10,0.608,0,0.393,0.268,0.182,0.077,0,0,0.76,1277.93,home,0
ORD100032,293,3,0.081,1,0.386,0.304,0.232,0.052,0,0,22.92,918.1,apparel,0
ORD100033,528,5,0.529,1,0.466,0.207,0.137,0.027,0,0,13.01,2696.53,beauty,0
ORD100034,693,10,0.112,1,0.277,0.261,0.149,0.021,0,0,19.67,607.46,apparel,0
ORD100035,11,9,0.289,1,0.16,0.014,0.084,0.029,0,0,0.26,2947.09,electronics,0
ORD100036,896,6,0.161,1,0.552,0.263,0.323,0.01,0,0,8.19,1217.87,home,0
ORD100037,426,5,0.23,1,0.454,0.161,0.207,0.018,0,0,0.54,3472.47,apparel,0
ORD100038,718,10,0.394,0,0.768,0.303,0.245,0.008,0,0,16.02,791.85,electronics,0
ORD100039,177,12,0.53,1,0.183,0.324,0.295,0.005,0,0,0.24,1219.52,home,0
ORD100040,64,5,0.144,0,0.289,0.318,0.273,0.029,0,0,3.92,5045.26,footwear,0
ORD100041,114,9,0.912,2,0.267,0.308,0.793,0.144,0,0,2.12,1984.41,apparel,1
ORD100042,1005,6,0.417,1,0.159,0.219,0.075,0.09,0,0,0.97,4954.85,apparel,0
ORD100043,352,9,0.359,0,0.256,0.072,0.105,0.022,0,0,8.26,1934.39,footwear,0
ORD100044,544,11,0.07,0,0.299,0.316,0.133,0.014,0,0,0.9,1937.12,footwear,0
ORD100045,479,6,0.38,0,0.378,0.093,0.173,0.108,0,0,4.18,637.73,home,0
ORD100046,452,3,0.652,1,0.519,0.38,0.057,0.046,0,1,8.78,674.16,apparel,0
ORD100047,495,12,0.15,0,0.496,0.159,0.166,0.025,0,0,1.39,1445.7,footwear,0
ORD100048,383,8,0.178,0,0.174,0.394,0.283,0.112,0,0,1.8,2107.56,apparel,0
ORD100049,440,9,0.313,0,0.386,0.487,0.487,0.014,0,1,4.45,407.93,electronics,0
ORD100050,155,5,0.188,0,0.744,0.736,0.669,0.067,0,0,1.16,2239.64,home,1
ORD100051,731,7,0.274,0,0.159,0.335,0.278,0.001,0,0,4.83,1799.88,apparel,0
ORD100052,16,13,0.051,0,0.728,0.321,0.064,0.04,0,0,4.57,2239.55,home,0
ORD100053,8,9,0.348,1,0.662,0.52,0.182,0.05,0,0,2.28,936.7,apparel,0
ORD100054,14,8,0.118,0,0.1,0.124,0.095,0.001,0,0,3.65,1013.95,beauty,0
ORD100055,1065,11,0.521,0,0.494,0.155,0.325,0.072,0,0,1.24,2321.1,apparel,0
ORD100056,57,8,0.432,1,0.313,0.079,0.365,0.408,0,0,0.41,943.05,apparel,1
ORD100057,743,10,0.18,0,0.419,0.145,0.105,0.044,0,0,0.8,1266.54,footwear,0
ORD100058,583,4,0.132,1,0.444,0.234,0.256,0.047,0,0,1.5,404.34,electronics,0
