order_id,merchant_id,account_age_days,past_orders,return_rate_hist,refund_to_keep_count,bracketing_score,claim_text_susp,image_ai_artifact_score,weight_mismatch_kg,shared_identifier_flag,carrier_scan_gap,days_to_claim,order_value,category,is_abuse
ORD100000,M002,934,12,0.242,0,0.167,0.153,0.154,0.05,0,0,3.53,683.94,apparel,0
ORD100001,M001,556,8,0.241,1,0.108,0.423,0.247,0.067,0,0,11.15,641.9,apparel,0
ORD100002,M001,852,6,0.151,0,0.368,0.383,0.153,0.078,0,0,5.87,626.4,beauty,0
ORD100003,M001,124,10,0.245,0,0.179,0.087,0.078,0.02,0,0,4.29,699.0,electronics,0
ORD100004,M001,635,9,0.583,0,0.517,0.517,0.494,0.143,0,0,3.82,964.16,electronics,1
ORD100005,M002,338,7,0.422,0,0.159,0.343,0.099,0.121,0,0,1.39,1030.56,electronics,0
ORD100006,M001,418,5,0.18,1,0.124,0.166,0.109,0.15,0,0,5.64,5822.77,apparel,0
ORD100007,M001,28,6,0.118,0,0.344,0.32,0.13,0.003,0,0,0.41,1652.76,beauty,0
ORD100008,M003,436,12,0.206,0,0.43,0.161,0.253,0.067,0,0,2.55,521.84,footwear,0
ORD100009,M001,445,8,0.184,0,0.275,0.253,0.204,0.016,0,0,0.74,1615.7,apparel,0
ORD100010,M001,82,13,0.824,0,0.519,0.051,0.539,0.03,0,0,9.77,1609.0,apparel,0
ORD100011,M001,870,4,0.576,1,0.382,0.528,0.208,0.018,0,0,8.16,5306.12,footwear,0
ORD100012,M001,50,9,0.378,0,0.203,0.158,0.326,0.16,0,0,3.05,547.9,apparel,0
ORD100013,M002,30,15,0.225,0,0.276,0.227,0.103,0.048,0,0,2.95,867.14,beauty,0
ORD100014,M001,770,5,0.299,0,0.168,0.175,0.554,0.003,0,0,1.64,197.27,apparel,0
ORD100015,M001,319,11,0.348,0,0.213,0.188,0.172,0.035,1,0,9.05,418.28,footwear,0
ORD100016,M001,408,14,0.094,1,0.079,0.131,0.247,0.08,0,0,17.99,2370.97,apparel,0
ORD100017,M001,448,3,0.129,1,0.851,0.304,0.245,0.18,0,0,8.93,484.62,footwear,0
ORD100018,M001,235,4,0.105,2,0.447,0.654,0.399,0.012,0,0,0.51,1171.99,electronics,0
ORD100019,M001,194,10,0.051,0,0.097,0.077,0.126,0.0,0,0,0.01,506.38,apparel,0
ORD100020,M002,250,8,0.13,0,0.256,0.04,0.101,0.051,0,0,18.46,1054.25,electronics,0
ORD100021,M001,262,7,0.328,1,0.517,0.355,0.239,0.137,0,0,8.46,563.44,apparel,0
ORD100022,M001,42,6,0.146,1,0.297,0.198,0.171,0.011,0,0,0.6,1727.71,apparel,0
ORD100023,M001,618,10,0.535,0,0.535,0.73,0.133,0.032,0,0,0.62,2283.03,apparel,0
