order_id,account_age_days,past_orders,return_rate_hist,refund_to_keep_count,bracketing_score,claim_text_susp,image_ai_artifact_score,weight_mismatch_kg,shared_identifier_flag,carrier_scan_gap,days_to_claim,order_value,category,is_abuse
ORD100000,1204,6,0.14,0,0.06,0.146,0.256,0.047,0,0,17.84,828.39,footwear,0
ORD100001,52,7,0.117,0,0.346,0.071,0.068,0.074,0,0,0.74,2724.93,home,0
ORD100002,160,7,0.245,0,0.007,0.206,0.125,0.013,0,0,1.05,2785.89,home,0
ORD100003,892,9,0.327,0,0.16,0.023,0.033,0.003,0,0,1.64,947.58,apparel,0
ORD100004,1697,9,0.095,0,0.058,0.055,0.098,0.015,0,0,4.86,370.19,apparel,0
ORD100005,922,9,0.184,0,0.096,0.411,0.056,0.005,0,0,1.68,2842.47,beauty,0
ORD100006,890,8,0.065,1,0.3,0.159,0.263,0.042,0,0,27.66,1403.28,home,0
ORD100007,477,15,0.084,0,0.273,0.245,0.109,0.003,0,0,6.09,484.59,home,0
ORD100008,290,5,0.061,0,0.435,0.362,0.366,0.002,0,0,7.3,638.07,electronics,0
ORD100009,76,8,0.183,1,0.288,0.238,0.107,0.001,0,0,0.75,2868.68,home,0
ORD100010,650,12,0.267,1,0.207,0.211,0.327,0.078,0,0,0.36,2523.32,electronics,0
ORD100011,874,5,0.24,0,0.442,0.073,0.372,0.003,0,0,6.29,1334.55,home,0
ORD100012,1309,5,0.141,0,0.197,0.523,0.496,0.031,0,0,0.49,1760.59,apparel,0
ORD100013,461,10,0.39,1,0.277,0.082,0.13,0.095,0,0,0.83,1719.81,beauty,0
ORD100014,103,12,0.179,0,0.028,0.386,0.253,0.131,0,0,3.69,1332.8,apparel,0
ORD100015,109,3,0.31,1,0.338,0.167,0.17,0.035,0,1,9.64,1149.15,footwear,0
ORD100016,827,7,0.902,1,0.89,0.543,0.756,0.136,1,0,0.26,1594.92,footwear,1
ORD100017,276,6,0.23,1,0.566,0.125,0.092,0.1,0,0,1.12,648.04,footwear,0
ORD100018,325,8,0.036,0,0.142,0.35,0.152,0.021,0,0,20.12,1802.48,beauty,0
ORD100019,27,7,0.106,1,0.745,0.08,0.302,0.049,0,0,5.93,228.4,apparel,0
ORD100020,632,8,0.336,0,0.269,0.346,0.128,0.01,0,0,3.07,2260.84,apparel,0
ORD100021,281,9,0.11,1,0.158,0.327,0.163,0.126,0,0,8.03,356.42,electronics,0
ORD100022,240,8,0.068,0,0.57,0.21,0.185,0.075,0,0,3.49,3629.57,apparel,0
ORD100023,791,6,0.022,0,0.275,0.253,0.138,0.011,0,0,0.08,3386.2,apparel,0
ORD100024,10,9,0.035,0,0.368,0.394,0.052,0.123,0,0,1.92,6663.89,home,0
ORD100025,4,11,0.292,0,0.341,0.079,0.067,0.045,0,0,5.45,3359.07,apparel,0
ORD100026,521,10,0.874,6,0.587,0.867,0.79,0.651,1,0,0.08,2310.46,footwear,1
ORD100027,51,5,0.344,1,0.171,0.081,0.078,0.014,0,0,2.03,599.85,apparel,0
ORD100028,1759,10,0.465,1,0.756,0.679,0.462,0.089,0,0,1.74,991.04,apparel,1
ORD100029,123,10,0.105,0,0.076,0.066,0.174,0.06,0,0,8.38,2373.23,apparel,0
ORD100030,821,5,0.204,0,0.25,0.147,0.124,0.05,0,0,16.61,937.16,apparel,0
ORD100031,27,10,0.209,0,0.058,0.064,0.042,0.028,0,0,6.11,395.27,beauty,0
ORD100032,898,5,0.096,0,0.386,0.154,0.195,0.011,0,0,5.23,730.76,apparel,0
ORD100033,148,3,0.535,0,0.113,0.254,0.138,0.005,0,1,0.49,601.07,footwear,0
ORD100034,644,5,0.145,1,0.101,0.082,0.115,0.003,0,0,12.32,1569.21,apparel,0
ORD100035,164,12,0.323,0,0.061,0.236,0.131,0.012,0,0,7.93,379.51,apparel,0
ORD100036,958,8,0.015,0,0.052,0.151,0.246,0.028,0,0,7.36,1013.41,apparel,0
ORD100037,436,8,0.147,0,0.075,0.125,0.108,0.056,0,0,6.7,582.93,electronics,0
ORD100038,77,12,0.045,0,0.196,0.345,0.402,0.08,0,0,0.77,1166.24,apparel,0
ORD100039,201,6,0.132,0,0.745,0.603,0.023,0.063,0,1,1.31,2103.01,apparel,0
ORD100040,913,6,0.129,0,0.54,0.089,0.254,0.042,0,0,3.96,1602.2,apparel,0
ORD100041,1209,10,0.29,0,0.211,0.395,0.204,0.04,0,0,5.42,1190.82,electronics,0
ORD100042,58,9,0.147,0,0.129,0.1,0.273,0.02,0,0,30.84,2335.54,home,0
ORD100043,24,7,0.322,1,0.084,0.334,0.162,0.002,0,0,2.68,2134.35,apparel,0
ORD100044,322,11,0.093,0,0.101,0.311,0.256,0.128,0,0,8.68,1350.57,electronics,0
ORD100045,183,2,0.05,0,0.319,0.105,0.32,0.264,0,0,24.69,4414.2,apparel,0
ORD100046,51,8,0.131,1,0.248,0.236,0.123,0.007,0,0,0.07,604.69,electronics,0
ORD100047,744,6,0.115,1,0.245,0.257,0.071,0.037,0,0,4.31,4671.38,footwear,0
ORD100048,35,3,0.768,1,0.699,0.872,0.693,0.361,0,1,6.91,800.46,beauty,1
ORD100049,349,9,0.31,0,0.172,0.166,0.066,0.01,0,0,16.62,2410.43,apparel,0
ORD100050,56,14,0.239,0,0.455,0.183,0.13,0.002,0,0,19.03,419.94,apparel,0
ORD100051,837,9,0.051,0,0.189,0.114,0.252,0.004,0,0,9.22,861.82,home,0
ORD100052,291,5,0.337,0,0.378,0.217,0.231,0.018,0,0,3.37,2482.82,home,0
ORD100053,82,7,0.237,0,0.239,0.178,0.124,0.03,0,0,4.01,192.6,apparel,0
ORD100054,8,10,0.405,0,0.635,0.137,0.16,0.004,0,0,1.09,998.62,beauty,0
ORD100055,442,8,0.094,0,0.149,0.243,0.268,0.006,0,0,2.87,1466.47,apparel,0
ORD100056,344,13,0.072,0,0.271,0.192,0.223,0.041,0,0,13.26,1092.04,apparel,0
ORD100057,83,12,0.245,0,0.314,0.031,0.159,0.02,0,0,1.15,971.02,home,0
ORD100058,411,5,0.198,0,0.266,0.331,0.174,0.125,0,0,2.07,1245.85,beauty,0
ORD100059,653,7,0.135,0,0.043,0.383,0.165,0.01,0,0,9.5,1431.53,beauty,0
ORD100060,294,5,0.105,0,0.537,0.241,0.311,0.024,0,0,18.04,371.83,footwear,0
ORD100061,282,5,0.166,0,0.421,0.156,0.331,0.017,0,0,0.55,659.2,apparel,0
ORD100062,829,10,0.241,0,0.31,0.282,0.113,0.057,0,0,0.06,1170.7,footwear,0
ORD100063,379,7,0.047,0,0.346,0.268,0.045,0.03,0,0,11.69,1202.98,apparel,0
ORD100064,185,9,0.199,0,0.324,0.038,0.116,0.024,0,1,2.95,915.47,apparel,0
ORD100065,564,12,0.774,4,0.719,0.691,0.959,0.344,0,0,10.18,1691.7,footwear,1
ORD100066,89,8,0.267,0,0.184,0.063,0.242,0.036,0,0,12.04,749.78,beauty,0
ORD100067,702,9,0.122,1,0.527,0.171,0.1,0.306,0,0,2.09,2022.39,apparel,0
ORD100068,586,8,0.328,1,0.366,0.169,0.402,0.016,0,0,3.12,727.65,beauty,0
ORD100069,258,10,0.105,0,0.253,0.26,0.109,0.069,0,1,4.29,1030.38,home,0
ORD100070,113,9,0.693,2,0.588,0.783,0.84,1.1,0,0,1.22,1497.9,apparel,1
ORD100071,184,9,0.2,0,0.081,0.073,0.114,0.016,0,1,2.86,1115.57,electronics,0
ORD100072,302,6,0.079,0,0.381,0.243,0.333,0.001,0,0,9.1,1395.08,electronics,0
ORD100073,144,6,0.24,0,0.199,0.067,0.436,0.125,0,0,13.25,1037.04,apparel,0
ORD100074,398,7,0.776,1,0.943,0.731,0.936,0.315,1,0,7.95,1938.63,apparel,1
ORD100075,953,11,0.337,0,0.334,0.154,0.189,0.054,0,0,3.04,457.01,home,0
ORD100076,1205,8,0.042,0,0.103,0.257,0.47,0.112,0,0,3.26,2882.19,home,0
ORD100077,275,6,0.143,0,0.096,0.26,0.129,0.0,0,0,1.52,3547.15,home,0
ORD100078,144,12,0.347,0,0.478,0.273,0.055,0.127,0,0,11.87,2970.32,apparel,0
ORD100079,86,13,0.15,0,0.293,0.236,0.012,0.009,0,0,12.31,3127.37,apparel,0
ORD100080,339,4,0.333,0,0.124,0.419,0.034,0.051,0,0,1.33,863.82,electronics,0
ORD100081,42,6,0.424,0,0.083,0.124,0.089,0.018,0,0,5.86,473.59,apparel,0
ORD100082,115,9,0.243,0,0.358,0.422,0.041,0.189,0,1,3.41,1875.0,apparel,0
ORD100083,983,4,0.295,0,0.234,0.143,0.389,0.004,0,0,9.81,436.88,footwear,0
ORD100084,535,9,0.113,0,0.069,0.121,0.258,0.034,0,0,8.67,288.37,electronics,0
ORD100085,120,3,0.252,0,0.166,0.016,0.073,0.02,0,0,16.99,3139.76,electronics,0
ORD100086,783,10,0.014,0,0.386,0.222,0.043,0.012,0,0,4.88,833.52,electronics,0
ORD100087,311,10,0.103,0,0.198,0.219,0.051,0.038,0,0,11.12,252.48,home,0
ORD100088,81,8,0.123,0,0.023,0.158,0.102,0.064,0,0,0.05,817.22,apparel,0
ORD100089,264,4,0.158,0,0.091,0.089,0.189,0.053,0,0,6.0,1243.99,home,0
ORD100090,90,7,0.045,0,0.255,0.39,0.07,0.054,0,0,8.58,448.67,apparel,0
ORD100091,480,4,0.626,4,0.673,0.672,0.599,0.536,0,0,2.12,2203.18,home,1
ORD100092,725,15,0.758,0,0.602,0.793,0.782,0.354,0,1,2.44,2681.43,electronics,1
ORD100093,726,9,0.082,1,0.031,0.102,0.16,0.109,0,0,2.03,1687.36,electronics,0
ORD100094,25,8,0.197,0,0.126,0.18,0.061,0.012,0,0,2.52,538.69,home,0
ORD100095,34,8,0.293,0,0.242,0.27,0.295,0.023,0,0,8.12,93.71,home,0
ORD100096,785,7,0.056,0,0.448,0.085,0.101,0.175,0,0,2.82,2608.86,home,0
ORD100097,36,9,0.175,0,0.151,0.141,0.367,0.028,0,0,8.8,3419.77,apparel,0
ORD100098,91,7,0.512,0,0.759,0.785,0.641,0.095,0,0,5.29,1784.27,electronics,1
ORD100099,7,9,0.732,4,0.635,0.796,0.817,0.072,0,0,0.13,557.62,beauty,1
ORD100100,278,10,0.281,1,0.366,0.088,0.062,0.017,0,0,5.44,848.71,electronics,0
ORD100101,49,12,0.204,0,0.383,0.083,0.206,0.015,0,0,2.56,962.1,apparel,0
ORD100102,116,10,0.321,0,0.25,0.308,0.419,0.053,0,0,7.53,791.08,apparel,0
ORD100103,49,11,0.188,0,0.258,0.074,0.26,0.012,0,0,14.89,4009.12,electronics,0
ORD100104,303,12,0.555,0,0.156,0.071,0.113,0.058,0,0,1.2,1023.41,footwear,0
ORD100105,146,7,0.102,0,0.205,0.262,0.016,0.001,0,0,0.25,335.3,beauty,0
ORD100106,128,9,0.376,1,0.39,0.206,0.206,0.016,0,0,6.83,1928.94,apparel,0
ORD100107,198,9,0.746,1,0.369,0.515,0.91,0.14,0,0,0.45,1553.31,home,1
ORD100108,604,5,0.285,0,0.391,0.192,0.213,0.059,0,0,8.25,725.83,apparel,0
ORD100109,56,9,0.769,2,0.92,0.558,0.276,0.054,0,1,1.49,2170.25,home,1
ORD100110,455,2,0.178,0,0.135,0.402,0.116,0.026,0,0,0.75,2246.64,apparel,0
ORD100111,176,7,0.014,0,0.235,0.161,0.08,0.056,0,0,0.86,643.2,footwear,0
ORD100112,482,7,0.163,0,0.281,0.078,0.057,0.034,0,0,2.21,1958.89,footwear,0
ORD100113,664,10,0.145,0,0.063,0.271,0.204,0.021,0,0,6.44,532.37,apparel,0
ORD100114,214,9,0.024,0,0.607,0.136,0.179,0.039,0,0,14.32,2795.49,electronics,0
ORD100115,61,8,0.502,0,0.388,0.168,0.181,0.029,0,0,0.34,2631.81,footwear,0
ORD100116,193,8,0.172,0,0.195,0.197,0.288,0.055,0,0,1.07,885.59,electronics,0
ORD100117,202,7,0.517,1,0.396,0.816,0.945,1.595,0,0,0.31,1473.92,electronics,1
ORD100118,31,5,0.165,0,0.198,0.144,0.158,0.245,0,0,10.65,896.57,electronics,0
ORD100119,79,10,0.129,1,0.495,0.099,0.043,0.009,0,0,5.07,334.94,apparel,0
ORD100120,10,11,0.552,0,0.041,0.248,0.231,0.037,0,0,0.14,1608.83,home,0
ORD100121,664,8,0.458,0,0.481,0.041,0.09,0.001,0,0,3.68,2171.77,footwear,0
ORD100122,454,9,0.437,0,0.247,0.234,0.19,0.007,0,0,5.13,1363.44,apparel,0
ORD100123,414,11,0.087,0,0.127,0.057,0.104,0.057,0,0,6.23,691.92,electronics,0
ORD100124,149,12,0.649,1,0.385,0.774,0.422,0.618,0,0,0.22,1955.58,footwear,1
ORD100125,845,8,0.305,0,0.268,0.232,0.056,0.007,0,0,0.46,3097.28,footwear,0
